iter	Passed	Remaining
404	6979	10254
405	6994	10233
406	7012	10216
407	7028	10197
408	7045	10180
409	7065	10166
410	7083	10151
411	7098	10130
412	7112	10109
413	7127	10088
414	7141	10067
415	7158	10049
416	7173	10029
417	7188	10008
418	7202	9987
419	7217	9966
420	7231	9944
421	7245	9923
422	7260	9903
423	7275	9883
424	7290	9863
425	7306	9844
426	7322	9825
427	7336	9804
428	7350	9784
429	7365	9763
430	7380	9743
431	7396	9724
432	7413	9708
433	7429	9689
434	7445	9670
435	7463	9654
436	7477	9634
437	7493	9615
438	7508	9594
439	7523	9575
440	7538	9555
441	7552	9535
442	7567	9515
443	7583	9496
444	7597	9475
445	7612	9456
446	7627	9436
447	7642	9416
448	7656	9395
449	7671	9375
450	7686	9356
451	7701	9337
452	7716	9317
453	7731	9298
454	7745	9277
455	7760	9258
456	7774	9238
457	7791	9220
458	7807	9201
459	7821	9181
460	7836	9162
461	7850	9141
462	7865	9122
463	7880	9103
464	7895	9084
465	7910	9064
466	7924	9044
467	7939	9025
468	7953	9005
469	7968	8985
470	7982	8965
471	7997	8946
472	8013	8927
473	8029	8909
474	8045	8892
475	8061	8874
476	8076	8855
477	8091	8836
478	8106	8817
479	8121	8798
480	8136	8779
481	8152	8761
482	8167	8742
483	8182	8723
484	8197	8704
485	8211	8685
486	8226	8665
487	8240	8646
488	8254	8626
489	8272	8609
490	8286	8590
491	8300	8570
492	8315	8551
493	8329	8532
494	8344	8513
495	8358	8493
496	8374	8475
497	8389	8456
498	8403	8437
499	8418	8418
500	8432	8398
501	8447	8380
502	8462	8361
503	8477	8342
504	8492	8323
505	8506	8304
506	8522	8287
507	8536	8267
508	8552	8249
509	8568	8232
510	8584	8214
511	8600	8197
512	8618	8181
513	8634	8164
514	8650	8147
515	8666	8129
516	8681	8110
517	8696	8092
518	8711	8073
519	8725	8053
520	8739	8034
521	8753	8015
522	8766	7995
523	8782	7977
524	8796	7958
525	8810	7939
526	8825	7921
527	8839	7902
528	8854	7883
529	8869	7865
530	8883	7846
531	8899	7828
532	8913	7810
533	8929	7792
534	8949	7778
535	8969	7764
536	8987	7749
537	9002	7730
538	9016	7711
539	9029	7692
540	9046	7675
541	9078	7671
542	9097	7656
543	9111	7637
544	9125	7618
545	9140	7600
546	9155	7582
547	9171	7564
548	9184	7545
549	9199	7526
550	9214	7508
551	9228	7489
552	9242	7471
553	9258	7453
554	9274	7436
555	9292	7420
556	9307	7402
557	9324	7385
558	9338	7367
559	9354	7349
560	9369	7331
561	9383	7313
562	9397	7294
563	9411	7275
564	9425	7257
565	9441	7239
566	9455	7221
567	9470	7203
568	9486	7185
569	9501	7167
570	9515	7149
571	9529	7130
572	9545	7113
573	9559	7094
574	9573	7076
575	9589	7058
576	9604	7041
577	9619	7023
578	9633	7004
579	9648	6986
580	9662	6968
581	9677	6950
582	9692	6932
583	9706	6914
584	9722	6897
585	9738	6880
586	9754	6862
587	9768	6844
588	9783	6827
589	9797	6808
590	9811	6790
591	9827	6772
592	9842	6754
593	9857	6737
594	9873	6720
595	9888	6702
596	9902	6684
597	9917	6667
598	9932	6649
599	9945	6630
600	9965	6616
601	9981	6598
602	9996	6581
603	10010	6563
604	10025	6545
605	10040	6527
606	10055	6510
607	10069	6492
608	10085	6475
609	10103	6459
610	10120	6443
611	10136	6426
612	10151	6409
613	10166	6391
614	10181	6373
615	10196	6356
616	10211	6338
617	10226	6321
618	10240	6303
619	10254	6285
620	10268	6266
621	10285	6250
622	10299	6232
623	10313	6214
624	10328	6196
625	10341	6178
626	10356	6160
627	10373	6144
628	10390	6128
629	10404	6110
630	10419	6092
631	10435	6076
632	10449	6058
633	10463	6040
634	10478	6023
635	10493	6005
636	10507	5988
637	10522	5970
638	10535	5952
639	10549	5934
640	10565	5917
641	10585	5902
642	10602	5886
643	10620	5870
644	10639	5855
645	10656	5839
646	10671	5822
647	10686	5805
648	10701	5787
649	10715	5769
650	10729	5752
651	10744	5734
652	10759	5717
653	10773	5699
654	10789	5682
655	10803	5665
656	10819	5648
657	10833	5630
658	10848	5613
659	10863	5596
660	10878	5578
661	10893	5561
662	10909	5545
663	10925	5528
664	10939	5510
665	10954	5493
666	10968	5476
667	10982	5458
668	10996	5440
669	11010	5423
670	11024	5405
671	11038	5387
672	11053	5370
673	11067	5353
674	11081	5335
675	11095	5317
676	11109	5300
677	11123	5282
678	11137	5265
679	11151	5247
680	11165	5230
681	11179	5212
682	11194	5195
683	11210	5178
684	11224	5161
685	11239	5144
686	11256	5128
687	11270	5110
688	11284	5093
689	11297	5075
690	11311	5058
691	11325	5040
692	11339	5023
693	11353	5005
694	11366	4988
695	11379	4970
696	11392	4952
697	11406	4935
698	11420	4917
699	11434	4900
700	11447	4882
701	11462	4865
702	11476	4848
703	11490	4831
704	11506	4814
705	11520	4797
706	11536	4781
707	11552	4764
708	11566	4747
709	11581	4730
710	11596	4713
711	11610	4696
712	11624	4679
713	11639	4662
714	11653	4644
715	11667	4627
716	11681	4610
717	11696	4593
718	11714	4578
719	11731	4562
720	11746	4545
721	11762	4529
722	11780	4513
723	11796	4497
724	11812	4480
725	11826	4463
726	11840	4446
727	11853	4428
728	11866	4411
729	11881	4394
730	11895	4377
731	11909	4360
732	11922	4343
733	11937	4326
734	11950	4308
735	11963	4291
736	11977	4274
737	11991	4257
738	12005	4240
739	12020	4223
740	12034	4206
741	12048	4189
742	12063	4172
743	12077	4155
744	12091	4138
745	12106	4122
746	12120	4104
747	12133	4087
748	12146	4070
749	12160	4053
750	12173	4036
751	12187	4019
752	12202	4002
753	12216	3985
754	12229	3968
755	12244	3952
756	12259	3935
757	12273	3918
758	12286	3901
759	12300	3884
760	12314	3867
761	12329	3850
762	12343	3833
763	12356	3816
764	12370	3799
765	12383	3782
766	12397	3766
767	12411	3749
768	12424	3732
769	12438	3715
770	12451	3698
771	12465	3681
772	12479	3664
773	12492	3647
774	12508	3631
775	12525	3615
776	12543	3599
777	12568	3586
778	12587	3570
779	12603	3554
780	12617	3538
781	12632	3521
782	12646	3504
783	12659	3487
784	12672	3470
785	12686	3454
786	12699	3437
787	12713	3420
788	12728	3403
789	12743	3387
790	12759	3371
791	12774	3354
792	12790	3338
793	12809	3323
794	12824	3306
795	12839	3290
796	12853	3273
797	12866	3256
798	12881	3240
799	12896	3224
800	12909	3207
801	12922	3190
802	12935	3173
803	12948	3156
804	12961	3139
805	12975	3123
806	12988	3106
807	13002	3089
808	13015	3072
809	13029	3056
810	13043	3039
811	13056	3023
812	13070	3006
813	13083	2989
814	13096	2972
815	13109	2956
816	13123	2939
817	13136	2922
818	13150	2906
819	13163	2889
820	13176	2872
821	13189	2856
822	13202	2839
823	13216	2823
824	13230	2806
825	13244	2789
826	13258	2773
827	13271	2756
828	13284	2740
829	13296	2723
830	13309	2706
831	13323	2690
832	13337	2673
833	13350	2657
834	13364	2640
835	13378	2624
836	13392	2608
837	13405	2591
838	13419	2575
839	13432	2558
840	13446	2542
841	13460	2525
842	13474	2509
843	13487	2492
844	13501	2476
845	13515	2460
846	13529	2443
847	13542	2427
