iter	Logloss
0	0.6701983118
1	0.6505234693
2	0.6280445898
3	0.6086063335
4	0.5918591909
5	0.5730421836
6	0.5563621819
7	0.5421456891
8	0.5226016027
9	0.5083453296
10	0.494737993
11	0.4799549661
12	0.464278471
13	0.4535895374
14	0.4404157663
15	0.4261897606
16	0.4126015068
17	0.40127712
18	0.3911767874
19	0.3832598739
20	0.3743061109
21	0.3670321282
22	0.3562453056
23	0.3502558164
24	0.3399632731
25	0.3320436693
26	0.3258751836
27	0.3199509391
28	0.3150925461
29	0.3090584062
30	0.304288769
31	0.2975647488
32	0.2924406931
33	0.2860798515
34	0.2807469111
35	0.2735838509
36	0.2680881534
37	0.2649160743
38	0.2614442532
39	0.2557901503
40	0.251260151
41	0.248399038
42	0.2426196258
43	0.2389087862
44	0.2355185333
45	0.2325136761
46	0.2308318647
47	0.2276723616
48	0.2234582018
49	0.2187136361
50	0.2166968966
51	0.2144301719
52	0.2121916141
53	0.2097618343
54	0.2074918007
55	0.2052815854
56	0.2024831374
57	0.2001217527
58	0.1978586313
59	0.1959766704
60	0.1930915217
61	0.191611855
62	0.1900139197
63	0.1883238227
64	0.1857110537
65	0.1841208615
66	0.1830808293
67	0.1808052981
68	0.1796254834
69	0.1765705824
70	0.1752916319
71	0.173958195
72	0.1722619561
73	0.1712525773
74	0.1694577963
75	0.1677245826
76	0.1662090852
77	0.1653341318
78	0.1636115103
79	0.1622669831
80	0.1606264217
81	0.1593526413
82	0.1581186476
83	0.1571436989
84	0.1552843989
85	0.1544475895
86	0.1534136091
87	0.1525013182
88	0.1512535447
89	0.1503692901
90	0.1494896006
91	0.1488645464
92	0.1476186793
93	0.1471057366
94	0.1462600582
95	0.1451336307
96	0.1444136995
97	0.1436975397
98	0.1427506275
99	0.1419467573
100	0.1412408058
101	0.140484142
102	0.1398079012
103	0.1392530279
104	0.1388286282
105	0.138016739
106	0.1372203019
107	0.136753678
108	0.1359430515
109	0.1353257252
110	0.1348593115
111	0.1342177559
112	0.1336124542
113	0.1334232279
114	0.1327371736
115	0.1323921644
116	0.1320890645
117	0.1316305021
118	0.1314361971
119	0.1307186342
120	0.1300361
121	0.1295324558
122	0.1291196593
123	0.1288422623
124	0.1281161463
125	0.1275452209
126	0.1272569947
127	0.1267196795
128	0.1264259111
129	0.1261317461
130	0.1257044672
131	0.1252168374
132	0.1247331196
133	0.1243328267
134	0.1239316728
135	0.1234718827
136	0.1230872037
137	0.1226828313
138	0.1218991366
139	0.1216191673
140	0.1213812487
141	0.1210302507
142	0.1208056899
143	0.1203553209
144	0.1199956361
145	0.1194380373
146	0.118874168
147	0.1186230905
148	0.1181916406
149	0.1178325176
150	0.1174193944
151	0.1169298233
152	0.116444063
153	0.1161099105
154	0.1157768534
155	0.1154779023
156	0.1149874287
157	0.1146513818
158	0.1140496654
159	0.1135767722
160	0.1133267972
161	0.1128849686
162	0.1126940065
163	0.1124503704
164	0.1120859268
165	0.1118295814
166	0.1112242382
167	0.1108336418
168	0.1106106998
169	0.1103833353
170	0.1101823889
171	0.1099964483
172	0.1097702397
173	0.1092932545
174	0.1087807304
175	0.1086889961
176	0.1082643387
177	0.1081201857
178	0.1077705798
179	0.1073053427
180	0.1070251425
181	0.1068598242
182	0.1066241824
183	0.1063343504
184	0.1059840099
185	0.1056291733
186	0.1053728683
187	0.104999328
188	0.1048007733
189	0.104509456
190	0.1042203599
191	0.1039594498
192	0.1036431646
193	0.103337449
194	0.1031970214
195	0.1030188514
196	0.1026053142
197	0.1023635645
198	0.102025392
199	0.1015177121
200	0.1012563236
201	0.1011231736
202	0.1007636947
203	0.1004922185
204	0.1002569345
205	0.1000481298
206	0.09967341467
207	0.09960089926
208	0.09945171318
209	0.0993364878
210	0.09910651441
211	0.09886065137
212	0.09864158605
213	0.09850724452
214	0.09834147424
215	0.0980151516
216	0.09782653856
217	0.09752564272
218	0.09732134018
219	0.09705326288
220	0.0969005267
221	0.09669217702
222	0.09634575082
223	0.09609624062
224	0.09587752163
225	0.09576839289
226	0.09551793205
227	0.09530141532
228	0.0949161993
229	0.09480931713
230	0.09464963025
231	0.09436165633
232	0.09424879989
233	0.094064435
234	0.09393626345
235	0.0936233427
236	0.0935019171
237	0.09336221911
238	0.09309770274
239	0.09282906638
240	0.09264793445
241	0.09241370485
242	0.09225074586
243	0.09204467366
244	0.09182275293
245	0.0915694944
246	0.09142992352
247	0.09126725907
248	0.09110568777
249	0.09092693711
250	0.09071414551
251	0.09056823413
252	0.09039955398
253	0.0901622886
254	0.08999914406
255	0.08972405137
256	0.08936230902
257	0.08916692363
258	0.08894347642
259	0.08873578863
260	0.08862213748
261	0.08841450241
262	0.08832707167
263	0.08806471904
264	0.08786956955
265	0.08772481804
266	0.08755460676
267	0.08745979516
268	0.08702033836
269	0.08683686381
270	0.08663223374
271	0.08631085021
272	0.08609467656
273	0.08590390196
274	0.08563396223
275	0.0855520352
276	0.08533372479
277	0.08509970315
278	0.08491440067
279	0.0846934638
280	0.08438217407
281	0.08428358787
282	0.08418328717
283	0.08408789631
284	0.08391144878
285	0.08375195966
286	0.08363441582
287	0.08353349844
288	0.08331414804
289	0.08316481758
290	0.08295547266
291	0.08275765605
292	0.0826074734
293	0.08254438278
294	0.08235224178
295	0.08224466912
296	0.08212063945
297	0.08190742721
298	0.0817928939
299	0.08173796417
300	0.08164601549
301	0.08141221551
302	0.08130980978
303	0.08119455891
304	0.08107724618
305	0.080965235
306	0.08083064016
307	0.08064211491
308	0.08039268613
309	0.08025068677
310	0.08011920808
311	0.07984320915
312	0.07956136704
313	0.07935364056
314	0.07925507253
315	0.07917695357
316	0.07898783483
317	0.07882315686
318	0.07868961783
319	0.07853284608
320	0.07836719941
321	0.07820455406
322	0.07811466391
323	0.07794673152
324	0.07779042906
325	0.07760592858
326	0.07739874565
327	0.07725336956
328	0.07710795869
329	0.07688146166
330	0.07669883646
331	0.07650247137
332	0.07632719074
333	0.07619774983
334	0.076113212
335	0.07599395621
336	0.07584402262
337	0.07571012931
338	0.07555557216
339	0.07542194835
340	0.07528859398
341	0.07518884293
342	0.07512799742
343	0.07498441088
344	0.07466106936
345	0.07452677914
346	0.07435682802
347	0.07420250343
348	0.07406577065
349	0.07382951556
350	0.07363915028
351	0.07357361081
352	0.07336030124
353	0.07317548684
354	0.07287140902
355	0.07277396522
356	0.07268594937
357	0.07262725476
358	0.07253847619
359	0.07242357775
360	0.07232300024
361	0.07222576761
362	0.07201934057
363	0.07188802786
364	0.07177689858
365	0.07171126295
366	0.07159665536
367	0.07148514643
368	0.07138310871
369	0.07127237918
370	0.07118461649
371	0.0710687434
372	0.07093783067
373	0.07076186525
374	0.07057301892
375	0.07048158152
376	0.07034804798
377	0.07028370978
378	0.07006603438
379	0.06993567482
380	0.06980791389
381	0.06971383783
382	0.06961587914
383	0.06950592391
384	0.06937954081
385	0.0692999755
386	0.06921027484
387	0.06913123452
388	0.06902482977
389	0.06882745639
390	0.06872786133
391	0.06858254606
392	0.06847964469
393	0.06833482362
394	0.06822014051
395	0.06810756956
396	0.0679462194
397	0.06792953549
398	0.06778942284
399	0.06765059733
400	0.0675386292
401	0.06749505687
402	0.06737195562
403	0.06713020048
404	0.06707805101
405	0.06697101315
406	0.06688079875
407	0.06675435888
408	0.06666329079
409	0.06656029067
410	0.06634706082
411	0.06619006196
412	0.06607453281
413	0.06592649882
414	0.06579460006
415	0.06568838528
